Structure [idcode]	Name	Basic_pKa_greater5	Acidic_pKa_lower9	CNS-Kind	Molweight	cLogP	cLogS	cLogD (pH=7.4)	H-Acceptors	H-Donors	Total Surface Area	Molecular Flexibility	Molecular Complexity	Non-H Atoms	Binned Molweight	Smiles	
fnka@@K@rQQQIQQQIIHxUg^cWKZjj@J`BB`@@	Benzatropine	9.54		CNS	307.436	4.0633	-3.917	1.9169	2	0	243.62	0.37699	0.6909	23	300 <= x < 325	CN(C(CC1)C2)C1CC2OC(c1ccccc1)c1ccccc1	
dcND@MADfVU~UZ``H@@	Benzocaine			non-CNS	165.191	1.3016	-2.133	1.3016	3	1	135.55	0.38666	0.54931	12	150 <= x < 175	CCOC(c(cc1)ccc1N)=O	
eeUXM@@K@DE@ficodZQTfVUWUUU]UUUUUVSQjBBJjjjjjjjjj`@@	Benzonatate			non-CNS	603.747	1.7022	-1.946	1.7021	12	1	515.95	0.67015	0.62421	42	600 <= x < 625	CCCCNc(cc1)ccc1C(OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)=O	
fdy`@@@ITs|rj}`~cUU@@@@PaP@	Benzphetamine	9.72		CNS	239.361	3.49	-2.943	1.0841	1	0	207.86	0.64527	0.55303	18	225 <= x < 250	CC(Cc1ccccc1)N(C)Cc1ccccc1	
fegpP`IZCpSo@bBAA`aHQdTTRdRjTbjRbRXjpQs``VJUjh@B@@@	Benzthiazide		7.26	non-CNS	431.944	1.4118	-4.174	0.41542	7	2	280.06	0.51033	0.86323	26	425 <= x < 450	NS(c(cc(c(N=C(CSCc1ccccc1)N1)c2)S1(=O)=O)c2Cl)(=O)=O	
f`q@`@@HRYYUg^Qg^Z``@@@@@	Benzyl benzoate			non-CNS	212.247	2.9907	-3.08	2.9907	2	0	174.53	0.4602	0.51585	16	200 <= x < 225	O=C(c1ccccc1)OCc1ccccc1	
fmwQ@@JZAdbRbbbJTLRRbrqkE{M]UUUUPP@@PPpP@	Bepridil	9.16		non-CNS	366.547	4.4044	-3.813	2.6403	3	0	309.72	0.56648	0.70075	27	350 <= x < 375	CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1	
fmoqa@BLjVZpQBi@hRDaHRDaHQDIHQHQAcfgQSeoXHbhjiijfJh^H@@	Besifloxacin	9.67	5.45	non-CNS	393.845	-0.1842	-5.028	-2.4545	6	2	271.53	0.30501	0.93789	27	375 <= x < 400	NC(CCCC1)CN1c(c(F)cc1c2N(C3CC3)C=C(C(O)=O)C1=O)c2Cl	
deU@@@GIEDdUS@PU@@@	Betahistine	9.77		CNS	136.197	0.4992	-0.833	-1.8723	2	1	123.26	0.56347	0.57807	10	125 <= x < 150	CNCCc1ncccc1	
daG@@@cldRaVEMUH@@	Betazole	9.79		non-CNS	111.147	-0.9578	-0.285	-3.1179	3	2	97.63	0.57126	0.65976	8	100 <= x < 125	NCCc1n[nH]cc1	
dmUDBLxDzTf^^fjjjBh@	Bethanechol			non-CNS	161.224	-3.3724	-0.386	-3.3724	4	1	130.95	0.47962	0.47958	11	150 <= x < 175	CC(C[N+](C)(C)C)OC(N)=O	
dko@@@pdim^Utvjh@@HB@	Bethanidine	12.41		non-CNS	177.250	0.9281	-2.009	-4.0775	3	2	157.43	0.64908	0.49074	13	175 <= x < 200	CN/C(/NCc1ccccc1)=N\C	
feg@`@@HR[e]fy]ZZxHLR}Z@BdBBjj``@@	Bexarotene		4.07	non-CNS	348.484	4.799	-6.389	1.4696	2	1	276.01	0.46999	0.85628	26	325 <= x < 350	CC(C)(CCC(C)(C)c1c2)c1cc(C)c2C(c(cc1)ccc1C(O)=O)=C	
fik`R@IBStXHaIe]mVUuijLCF@BZh@JjX@@@	Bezafibrate		3.83	non-CNS	361.824	3.3525	-4.072	-0.2188	5	2	274.2	0.63738	0.67019	25	350 <= x < 375	CC(C)(C(O)=O)Oc1ccc(CCNC(c(cc2)ccc2Cl)=O)cc1	
fkoPR`OG`aS`A@YB\`nPwHYIHXdeHcMmDeLiEJuVkPPUCT@EUXPyP@	Bicalutamide			non-CNS	430.377	2.1426	-5.084	2.1426	6	2	291.11	0.59133	0.79764	29	425 <= x < 450	CC(CS(c(cc1)ccc1F)(=O)=O)(C(Nc(cc1)cc(C(F)(F)F)c1C#N)=O)O	
fa{P@@@XRe^YeUe\DlGtV}ZZ`@@B@B@aR`@	Bifonazole	6.36		non-CNS	310.399	4.7577	-6.844	4.6811	2	0	253	0.46624	0.69426	24	300 <= x < 325	c1cncn1C(c1ccccc1)c(cc1)ccc1-c1ccccc1	
edZ\L@@GJf`DOlbfdTJVRTRVTRbRRQRfbVWPussUP@UUUMTDEQ@@@@	Bilastine	9.41	4.04	non-CNS	463.620	3.5841	-3.15	0.23938	6	1	370.01	0.47911	0.8512	34	450 <= x < 475	CCOCCn1c(cccc2)c2nc1C1CCN(CCc2ccc(C(C)(C)C(O)=O)cc2)CC1	
fnka@@O@rJQQQIJIKFEKP[N]FkZhJ`jajhj@@	Biperiden	9.3		CNS	311.467	3.7885	-3.568	1.885	2	1	247.66	0.51021	0.79048	23	300 <= x < 325	OC(CCN1CCCCC1)(C(C1)C2C=CC1C2)c1ccccc1	
ej^ZJ@@DLCFhPMJk`\bbRdTlTfebTQTTLVbarJJzqIZjjfjjijjffjj@@@	Boceprevir			non-CNS	519.684	1.3825	-4.018	1.3825	10	4	388.06	0.57311	0.87401	37	500 <= x < 525	CC(C)(C)C(C(N(CC1C(C)(C)C11)C1C(NC(CC1CCC1)C(C(N)=O)=O)=O)=O)NC(NC(C)(C)C)=O	
fcoQ`@CC@cVQQJJIIKKQRJJqUUnsFmjB`hhJbHXJAJ@@	Bopindolol	9.29		non-CNS	380.486	3.9674	-4.55	2.0717	5	2	305.87	0.3896	0.78531	28	375 <= x < 400	CC(C)(C)NCC(COc1c(cc(C)[nH]2)c2ccc1)OC(c1ccccc1)=O	
enUZFH@LA@jfhDKLofP@cIIBhhdeEhdmEDiDeDkemOG@glXZUj@@HBj@JhHHb@@@@	Bosentan		5.8	non-CNS	551.622	3.479	-7.481	1.8643	11	2	410.94	0.41793	0.898	39	550 <= x < 575	CC(C)(C)c(cc1)ccc1S(Nc1nc(-c2ncccn2)nc(OCCO)c1Oc(cccc1)c1OC)(=O)=O	
eb^ZLD@EDlkdRNa`HbRHrJJII[JJJIIEIKIJIKLBAYUMPhpPQTDA`EUUUTA@@@	Bosutinib	8.03		non-CNS	530.454	4.5762	-5.461	3.5085	8	1	400.59	0.38167	0.89747	36	525 <= x < 550	CN1CCN(CCCOc(cc(c2c3)ncc(C#N)c2Nc(c(Cl)c2)cc(OC)c2Cl)c3OC)CC1	
fncqS@LVKADTy@D\BOAFRRFJIIIKIRIBehruTuUUKULID@@	Brinzolamide	6.5	8.18	non-CNS	383.513	0.2924	-0.872	0.19952	8	2	258.96	0.51844	0.91023	23	375 <= x < 400	CCNC(CN1CCCOC)c(cc(s2)S(N)(=O)=O)c2S1(=O)=O	
fluqB@AJMDFHdrmrlzmNZ\EL@PuA@a@@@	Bromazepam			CNS	316.157	1.7986	-4.023	1.7986	4	1	202.85	0.27725	0.84245	19	300 <= x < 325	O=C1Nc(ccc(Br)c2)c2C(c2ncccc2)=NC1	
fdyPA@BJAbRqDfYy~[Ug@q``Jjjh`@@	Bromhexine	9.23		non-CNS	376.135	3.6113	-4.448	1.6869	2	1	223.16	0.56476	0.69646	18	375 <= x < 400	CN(Cc1cc(Br)cc(Br)c1N)C1CCCCC1	
emXzJH@DKBmh\fegnPLSHheDdeEmDULiDhhikEDdkBJIMECOHimh\ZVZZ`bIjfjijjjjZbJh@@	Bromocriptine	6.71		CNS	654.604	3.7651	-3.939	3.6837	10	3	424.91	0.30042	1.0843	43	650 <= x < 675	CC(C)CC(C(N(CCC1)C1C1(O)OC2(C(C)C)NC(C(CN(C)C3C4)C=C3c3cccc([nH]5)c3c4c5Br)=O)=O)N1C2=O	
fbuaB@@bAbILklljoTYzL@ETDDTDND@@	Bromodiphenhydramine	8.87		CNS	334.256	3.631	-3.145	2.1493	2	0	236.49	0.54538	0.68273	20	325 <= x < 350	CN(C)CCOC(c1ccccc1)c(cc1)ccc1Br	
feg`a@KBRCDgHILkmZzk\ktXZwQp@UUUTp@Q@@@	Bromperidol	8.07		CNS	420.321	4.4241	-4.798	3.6717	3	1	285.63	0.49482	0.71389	26	400 <= x < 425	OC1(CCN(CCCC(c(cc2)ccc2F)=O)CC1)c(cc1)ccc1Br	
flePB@E^AbILklrj}Qc`p@UAAEACa@@	Brompheniramine	9.48		CNS	319.245	3.4729	-2.724	1.3909	2	0	225.25	0.47412	0.73028	19	300 <= x < 325	CN(C)CCC(c(cc1)ccc1Br)c1ncccc1	
fikQR@LZ`cdT`BLddlTRTRbtRQvdXkUhHJHI`b`@@	Bumetanide		4.68	non-CNS	364.421	2.2664	-4.725	-0.44167	7	3	269.22	0.53775	0.8584	25	350 <= x < 375	CCCCNc1cc(C(O)=O)cc(S(N)(=O)=O)c1Oc1ccccc1	
edQXB@@E`NENldTTTRdTrRbRlaLfjaCDgefUaPUSRpLMATEUEUUUUUTUT@@@	Buprenorphine	9.63		CNS	467.648	4.3417	-4.838	-0.80134	5	2	322.45	0.36241	1.0727	34	450 <= x < 475	CC(C)(C)C(C)(C(CC(CC1)(C(C2)N(CC3CC3)CC3)C33c4c2ccc(O)c4OC32)C12OC)O	
fch`@DAktXNYEEDheBdbhdlhdfBlxmU{ZjZjjjj`@j@@@	Buspirone	7.62		CNS	385.510	1.8451	-2.334	1.4199	7	0	299.73	0.51239	0.74499	28	375 <= x < 400	O=C(CC1(CCCC1)C1)N(CCCCN(CC2)CCN2c2ncccn2)C1=O	
f`aQ`@DX@pRSJsvkTxuSMTu@@@	Butalbital		7.48	CNS	224.259	1.1113	-2.526	1.0767	5	2	175.66	0.54548	0.69646	16	200 <= x < 225	CC(C)CC(CC=C)(C(NC(N1)=O)=O)C1=O	
do}L@DpFEIeY{WkfjYjj`@	Butobarbitone		7.48	CNS	212.248	1.0785	-2.427	1.0442	5	2	166.14	0.55351	0.66755	15	200 <= x < 225	CCCCC(CC)(C(NC(N1)=O)=O)C1=O	
fi{P@`CQADDBAQ@xcHhhdihThdeBefRbeoXHJJjiP@bH\h@@	Butoconazole	6.51		non-CNS	411.783	5.9859	-5.62	5.8923	2	0	298.27	0.55332	0.72768	25	400 <= x < 425	Clc1ccc(CCC(Cn2cncc2)Sc(c(Cl)ccc2)c2Cl)cc1	
fag``@H`mdTRTrdRbRqrbhrQoQBeoX@JjjjjjJh@@	Butorphanol	10.37		CNS	327.466	3.1437	-3.838	-0.1601	3	2	239.44	0.31712	0.94743	24	325 <= x < 350	OC(CCCC1)(C(C2)N(CC3CCC3)CC3)C13c1c2ccc(O)c1	
fdy@P@@HHkHheDdhcLeHpXmPPL@@@@@	Benzoyl peroxide			non-CNS	242.229	3.0506	-3.41	3.0506	4	0	188.52	0.56948	0.55886	18	225 <= x < 250	O=C(c1ccccc1)OOC(c1ccccc1)=O	
egdQ@@@@LBFNaemldTVrTTTTRRVqRbVEEgdUVSQusUS@@@A@tuPD@`qMP	Bisantrene hydrochloride	6.21		non-CNS	398.473	3.5568	-7.46	3.5296	8	4	311.8	0.28525	0.83562	30	375 <= x < 400	C1NC(N/N=C/c2c(cccc3)c3c(/C=N/NC3=NCCN3)c3ccccc23)=NC1	
ehRZD@@DLG@o`NLbbbTRtVRTRbRaRRt|bFVnA^~ZjZjjjjhIAbb@@@	Cabergoline	9.32		CNS	451.613	3.0883	-3.176	1.1625	7	2	357.19	0.48833	0.95548	33	450 <= x < 475	CCNC(N(CCCN(C)C)C(C(C1)CN(CC=C)C(Cc2c[nH]3)C1c1c2c3ccc1)=O)=O	
fk@`@@GrJQEJJZQIF[JJKHwhyWnjjjjjfffjj@bLV@	Calcidiol			non-CNS	400.644	6.8167	-5.545	6.8167	2	2	329.09	0.43494	0.84517	29	400 <= x < 425	CC(CCCC(C)(C)O)C(CC1)C(C)(CCC2)C1/C2=C/C=C(\CC(CC1)O)/C1=C	
eghPL@@@IElbbbTrJbbTbubrfc@`RTQQuuTsTuUUUMUUPFCDi]P	Calcipotriol			non-CNS	412.612	5.1955	-5.055	5.1955	3	3	323.49	0.37312	0.84166	30	400 <= x < 425	CC(C(CC1)C(C)(CCC2)C1/C2=C/C=C(\CC(CC1O)O)/C1=C)/C=C/C(C1CC1)O	
eg`PL@@@MklbdQRbfdRQfrbbtQgdVRquUUUUUMMMUU@HQQT@	Calcitriol			non-CNS	416.643	5.9646	-5.146	5.9646	3	3	334.18	0.43326	0.85945	30	400 <= x < 425	CC(CCCC(C)(C)O)C(CC1)C(C)(CCC2)C1/C2=C/C=C(\CC(CC1O)O)/C1=C	
ejQXN@@D@DlbaiolbbTbbRRLVbVRbbJRfRTt\b^AqIZjjjjiji``bjhhCJ@@	Candoxatril		4.29	non-CNS	515.645	3.5566	-4.889	0.44168	8	2	400.39	0.54449	0.81047	37	500 <= x < 525	COCCOCC(CC1(CCCC1)C(NC(CC1)CCC1C(O)=O)=O)C(Oc1cc(CCC2)c2cc1)=O	
dg^L`Fh{@HrIQPqQJKmTuUM@@	Captopril		4.02	non-CNS	217.288	0.366	-1.715	-3.0155	4	1	160.31	0.52121	0.66621	14	200 <= x < 225	CC(CS)C(N(CCC1)C1C(O)=O)=O	
deeDBLXDZTf]ZZjj@@	Carbachol			non-CNS	147.197	-3.7317	-0.008	-3.7317	4	1	119.95	0.72209	0.48648	10	125 <= x < 150	C[N+](C)(C)CCOC(N)=O	
fdeQ@@DXAdTTtTTRbqUXp_QZh@``A@@@	Carbamazepine			CNS	236.273	3.1187	-5.267	3.1187	3	1	182.59	0.19405	0.75107	18	225 <= x < 250	NC(N1c(cccc2)c2C=Cc2c1cccc2)=O	
fegPr@FJtZwjm@DYHiEDTheYhhhd\LyH\zjjifZ`XB`@@	Carbenicillin		3.11	non-CNS	378.404	0.6887	-1.88	-3.6045	8	3	254.14	0.44764	0.90297	26	375 <= x < 400	CC(C)(C1C(O)=O)SC(C2NC(C(C(O)=O)c3ccccc3)=O)N1C2=O	
f`aPP@B\@bwlbfdRLRTIgMUT@QDLD@@	Carbidopa	5.64	3.6	CNS	226.231	-0.8973	-1.335	-4.7081	6	5	166.47	0.65469	0.65055	16	225 <= x < 250	CC(Cc(cc1)cc(O)c1O)(C(O)=O)NN	
dcMD`DpY@HrJJJJMTsUTuH@@	Carbimazole			non-CNS	186.234	0.7234	-1.709	0.7234	4	0	145.84	0.40676	0.66172	12	175 <= x < 200	CCOC(N(C=CN1C)C1=S)=O	
eb~zN@@DJNdYPMGDgf\|bbTTRTRbfdTtRzVbaaRbrbbRRrVRuwj\^[UUTtpUUPTMUTuAPTTD@@@	Carfilzomib			non-CNS	719.921	2.513	-4.57	2.5114	12	4	576.63	0.5523	0.85485	52	700 <= x < 725	CC(C)CC(C(C1(C)OC1)=O)NC(C(Cc1ccccc1)NC(C(CC(C)C)NC(C(CCc1ccccc1)NC(CN1CCOCC1)=O)=O)=O)=O	
fdqPP@LQ@`p\bbRTTaVRcUUUUSPYP@	Carisoprodol			CNS	260.333	2.1124	-3.057	2.1124	6	2	215.97	0.66517	0.58491	18	250 <= x < 275	CCCC(C)(COC(N)=O)COC(NC(C)C)=O	
dcwDPLHVxHcXcHdheBeURuP@@	Carmustine			non-CNS	214.051	0.9193	-1.665	0.91929	5	1	156.69	0.74617	0.61821	12	200 <= x < 225	O=C(NCCCl)N(CCCl)N=O	
egh\DH@NBedk`@aJYfUWwYvuuhxdlt\fVh@`BBijjjjB@@@	Carphenazine	7.78		CNS	425.595	3.8845	-4.381	3.1335	5	1	328.37	0.47344	0.8512	30	425 <= x < 450	CCC(c(cc1)cc2c1Sc(cccc1)c1N2CCCN1CCN(CCO)CC1)=O	
ehZRH@@DBKD`LbfdTRRVvRTTTTRbQTlL\Vnv~^AZjjjjjh@HHBh@@@	Carpipramine	8.92		CNS	446.637	4.1489	-4.72	2.3252	5	1	352.74	0.48467	0.81672	33	425 <= x < 450	NC(C1(CCN(CCCN(c2c(CC3)cccc2)c2c3cccc2)CC1)N1CCCCC1)=O	
fncpr@LB[jsoAJ@HrQQJIIIJZJjHgJLjjjffZfy@@	Cefacetrile		3.11	non-CNS	339.327	-1.0173	-1.341	-5.1119	9	2	236.27	0.46775	0.90348	23	325 <= x < 350	CC(OCC(CSC1C2NC(CC#N)=O)=C(C(O)=O)N1C2=O)=O	
fakpQ@BVcIVo@bFAFQQQJJZMJZZII`aF[vZjfZfh@J@@@	Cefaclor	7.23	2.83	non-CNS	367.812	-2.0489	-2.25	-6.4223	7	3	243.23	0.43126	0.87896	24	350 <= x < 375	NC(C(NC(C1SCC(Cl)=C(C(O)=O)N11)C1=O)=O)c1ccccc1	
fegPq@LBuYw`e@DMBLdTRbRRRfbjbaQNTXN]UUTtsTtuJ@@	Cefalotin		3.43	non-CNS	396.443	0.5912	-2.068	-3.183	8	2	270.26	0.4828	0.91217	26	375 <= x < 400	CC(OCC(CSC1C2NC(Cc3cccs3)=O)=C(C(O)=O)N1C2=O)=O	
eodVJD@LAJfiemGO@l`@bpHrQQJIIIJZJqSQJITcbabYZyzjjjZYjfBhBT@@@	Cefamandole		3.13	non-CNS	462.510	-0.2126	-2.419	-4.2884	11	3	314.39	0.43697	0.92638	31	450 <= x < 475	Cn1nnnc1SCC(CSC1C2NC(C(c3ccccc3)O)=O)=C(C(O)=O)N1C2=O	
ek`QBL@LALjfiemmGO@`@bpHJBLdTRbRRRfbjbbRRHxhXFfVvjjjffZijeiX@@	Cefazolin		2.83	non-CNS	454.515	-1.0017	-2.12	-5.3753	12	2	302.76	0.47913	0.91991	29	450 <= x < 475	Cc1nnc(SCC(CSC2C3NC(Cn4nnnc4)=O)=C(C(O)=O)N2C3=O)s1	
fegiQ@LBSV^g^BT@PLHrQQJIIIJZNISIDyQgQuUUSKLuKTpHQP	Cefdinir		3.05	non-CNS	395.419	3.0002e-4	-2.753	-5.6666	10	4	263.87	0.41994	0.92659	26	375 <= x < 400	C=CC(CSC1C2NC(/C(/c3csc(N)n3)=N\O)=O)=C(C(O)=O)N1C2=O	
ehRVJL@LALam`]GO@n`@bhH~BLdTRbRRRfblTRbTRSHxhXVv^~jjjfVZZZZijV@PLdd	Cefditoren		2.98	non-CNS	506.587	0.9651	-3.559	-3.0396	11	3	348.46	0.37747	0.94648	33	500 <= x < 525	Cc1c(/C=C/C(CSC2C3NC(/C(/c4csc(N)n4)=N\OC)=O)=C(C(O)=O)N2C3=O)scn1	
eiSVNL@LABekj]GO@ailP@ahHQBLdTRbRRRfbvbbRbTRRlqdHxhXNnaQjjjfVZffijifjiXA@rrP	Cefditoren pivoxil			non-CNS	620.730	2.7855	-5.026	2.7853	13	2	440.81	0.4267	0.96055	41	600 <= x < 625	CC(C)(C)C(OCOC(C(N(C(C1NC(/C(/c2csc(N)n2)=N\OC)=O)SC2)C1=O)=C2/C=C/c1c(C)ncs1)=O)=O	
eg`ZND@LADjmmGO@bck`@bXHrQQJIIIJZNIQIIZD\TLCSUUUSKLuLuMLAAD`	Cefixime		2.9	non-CNS	453.455	-0.6664	-2.532	-8.3714	12	4	305.38	0.43008	0.93464	30	450 <= x < 475	C=CC(CSC1C2NC(/C(/c3csc(N)n3)=N\OCC(O)=O)=O)=C(C(O)=O)N1C2=O	
ehRYJL@LALjfaem`]GO@n`@bpH~BLdTRbRRRfblTRbTRSHxhXVv^~jjjffZYjZijV@`RP	Cefmenoxime		2.87	non-CNS	511.567	-0.3745	-3.36	-4.7378	14	3	343.99	0.42855	0.9463	33	500 <= x < 525	Cn1nnnc1SCC(CSC1C2NC(/C(/c3csc(N)n3)=N\OC)=O)=C(C(O)=O)N1C2=O	
eg`^JL@LIFniekaC@hd`@cpHjBLdTRbbRRRabjbRbiGECDruUUUMSMSUUr`@@	Cefmetazole		3.18	non-CNS	471.542	-0.6756	-2.398	-4.6931	12	2	322.67	0.54056	0.97017	30	450 <= x < 475	Cn1nnnc1SCC(CSC1C2(NC(CSCC#N)=O)OC)=C(C(O)=O)N1C2=O	
elVVAL@JFAEOAhDLBjfec`@bPHbBLddjbTvTTRbfcRffbRDTbrrzaQVjfZZjfZfh@J`@@	Cefonicid		2.92	non-CNS	542.573	-1.8412	1.413	-10.86	14	4	350.82	0.48492	0.92572	35	525 <= x < 550	OC(C(NC(C1SCC(CSc2nnnn2CS(O)(=O)=O)=C(C(O)=O)N11)C1=O)=O)c1ccccc1	
ecPyAD@LALjfemgi]GO@kb^QP@bpHrQQJIIIJZJqQJIQQIqZIZUD\TLK[@xlruUUSSMTtESAPuMTi@@@	Cefoperazone		3.19	non-CNS	645.676	-1.2001	-2.047	-5.2164	17	4	439.74	0.46493	0.96594	44	625 <= x < 650	CCN(CCN(C(NC(C(NC(C1SCC(CSc2nnnn2C)=C(C(O)=O)N11)C1=O)=O)c(cc1)ccc1O)=O)C1=O)C1=O	
elV^FD@LABjai`]GO@hTP@bpHrQQJIIIJZJjJIQQEKPcba`ZZ{zjjjZYjXJbHfe@@@	Ceforanide	8.93	2.46	non-CNS	519.562	-2.8847	-2.407	-7.7338	13	4	357.18	0.50774	0.93607	35	500 <= x < 525	NCc1c(CC(NC(C2SCC(CSc3nnnn3CC(O)=O)=C(C(O)=O)N22)C2=O)=O)cccc1	
eg`ZND@LALakmKGO@jn`@`xHrQQJIIIJZJqQJEKD\TL[GUUUSSMLuLuLA@d`	Cefotaxime		3.03	non-CNS	455.471	-0.5074	-2.451	-4.7301	12	3	309.01	0.43539	0.9389	30	450 <= x < 475	CC(OCC(CSC1C2NC(/C(/c3csc(N)n3)=N\OC)=O)=C(C(O)=O)N1C2=O)=O	
eb^^AB@LINaemlQC@hd`XTP@cpHjBF`cIEDhhdddhXkEEeEXhhQqPpuLmmUUUSTsUMUMLtraABD@@	Cefotetan		3.03	non-CNS	575.627	-0.575	-1.896	-4.7437	15	4	363.22	0.47942	0.98524	36	575 <= x < 600	Cn1nnnc1SCC(CS[C@@H]1[C@@]2(NC(C(S3)SC3=C(C(N)=O)C(O)=O)=O)OC)=C(C(O)=O)N1C2=O	
edZYBL@LABjfaigomGO@`@bpHNBLdTRbRRRfbjbbTRJvaGEC@tvquUUTtsTtuMUTl@@@	Cefotiam	8.35	2.76	non-CNS	525.638	-1.8752	-1.928	-6.4803	13	3	362.6	0.52834	0.93173	34	525 <= x < 550	CN(C)CCn1nnnc1SCC(CSC1C2NC(Cc3csc(N)n3)=O)=C(C(O)=O)N1C2=O	
fcoqq@LRzHw`qRt@PLHrQQJJIIIJFJjJEDyQb}uUUTuLuMMR`@@	Cefoxitin		3.39	non-CNS	427.457	-0.0143	-2.142	-3.8277	10	3	286.69	0.50843	0.97001	28	425 <= x < 450	COC(C1SCC(COC(N)=O)=C(C(O)=O)N11)(C1=O)NC(Cc1cccs1)=O	
fcohq@LBrw^kN|Fh@aXQdbbTRRRTtUfTRVIrcIkjjjffZZfZfAAJ@	Cefpodoxime		3.08	non-CNS	427.461	-0.5641	-2.169	-4.7467	11	3	291.26	0.43402	0.93443	28	425 <= x < 450	COCC(CSC1C2NC(/C(/c3csc(N)n3)=N\OC)=O)=C(C(O)=O)N1C2=O	
fmwqR@LBsiw`k@DYHheDddeMEXXdlSeFCgUUULluP@T`HF`	Cefprozil	7.22	3.3	non-CNS	389.431	-1.7171	-1.699	-5.5878	8	4	272.92	0.42998	0.91527	27	375 <= x < 400	C/C=C/C(CSC1C2NC(C(c(cc3)ccc3O)N)=O)=C(C(O)=O)N1C2=O	
fakpR@LBcjso@BLdTRbRRttltRQNTXwmUUTsMSUR`@@	Cefradine	7.6	3.27	non-CNS	349.410	-2.003	-1.801	-5.9382	7	3	245.54	0.43704	0.90551	24	325 <= x < 350	CC(CSC1C2NC(C(C3=CCC=CC3)N)=O)=C(C(O)=O)N1C2=O	
ejQVNDHLAKBid]GO@alRP@axHlgIEDhdddihiXdeEdmHmBNJFNmkgjjjiifA`iIjiiHBCI@	Ceftazidime		2.68	non-CNS	547.592	-4.1815	-2.315	-8.8125	13	4	372.83	0.45453	0.94855	37	525 <= x < 550	CC(C)(C(O)=O)O/N=C(\C(NC(C1SCC(C[n+]2ccccc2)=C(C(O)=O)N11)C1=O)=O)/c1csc(N)n1	
fmwHq@LBRMQkNfl@PtHrQQJKIJZVJIIKPgJLjvjjifZYfii`PB`	Ceftibuten		3.13	non-CNS	410.430	-0.7123	-1.743	-5.1255	10	4	274.37	0.44622	0.90348	27	400 <= x < 425	Nc1nc(/C(/C(NC(C2SCC=C(C(O)=O)N22)C2=O)=O)=C/CC(O)=O)cs1	
fi{iQ@LBCdZcV\d@QtHrQQJKIJZVIQIXgJL[vjjifYjYjXDOH	Ceftizoxime		2.98	non-CNS	383.408	-0.5055	-2.424	-4.7766	10	3	257.03	0.41659	0.89747	25	375 <= x < 400	CO/N=C(\C(NC(C1SCC=C(C(O)=O)N11)C1=O)=O)/c1csc(N)n1	
eb^QNLHLALjfaed]GO@nh\P@bpH~BJirQQJIIIJZJqQJJIIK[D\TLG@o_UUUSSMLuMTtsM@PIH	Ceftriaxone sodium		2.98	non-CNS	555.596	-3.0946	-0.956	-7.3063	15	5	356.68	0.47268	0.95934	36	550 <= x < 575	C[N+](NC(C(N1)=O)=O)=C1SCC(CSC1C2NC(/C(/c3csc(N)n3)=N\OC)=O)=C(C(O)=O)N1C2=O	
fkHJ@LBrwUg^CWhpAFRJIQIIISQVJIPiDyQfsuUUSSMLuMThHIP	Cefuroxime		2.96	non-CNS	424.389	-0.7728	-2.563	-5.0234	12	3	291.74	0.46694	0.93298	29	400 <= x < 425	CO/N=C(\C(NC(C1SCC(COC(N)=O)=C(C(O)=O)N11)C1=O)=O)/c1ccco1	
elZREH@LABnmKGO@faemhP@cIEDhdddihmhhheCdeBNJFO`ZjjiififjfjZTBCI@	Cefuroxime axetil			non-CNS	510.479	-0.1617	-3.215	-0.16183	14	2	360.16	0.49553	0.95297	35	500 <= x < 525	CC(OC(C)=O)OC(C1=C(COC(N)=O)CSC(C2NC(/C(/c3ccco3)=N\OC)=O)N1C2=O)=O	
fakpR@LBcjso@BLdTRbRRttltRQNTXwmUUTsMP@R@@@	Cephalexin	7.23	3.26	non-CNS	347.394	-2.028	-1.683	-5.976	7	3	240.07	0.42614	0.89639	24	325 <= x < 350	CC(CSC1C2NC(C(c3ccccc3)N)=O)=C(C(O)=O)N1C2=O	
fcopr@LBsjsoAj@HrQQJIIIJZJqSPiDyQb}uUUSSMTp@R@@@	Cephaloglycin	7.23	3.15	non-CNS	405.430	-2.4701	-1.586	-6.5312	9	3	281.58	0.44463	0.91784	28	400 <= x < 425	CC(OCC(CSC1C2NC(C(c3ccccc3)N)=O)=C(C(O)=O)N1C2=O)=O	
fcopq@LBwjsoAJ@HrDYHheDddeMEUDXdb\hq^zjjiifih@I@@@	Cephapirin		3.36	non-CNS	423.469	-0.0616	-1.84	-3.921	9	2	290.57	0.52406	0.90777	28	400 <= x < 425	CC(OCC(CSC1C2NC(CSc3ccncc3)=O)=C(C(O)=O)N1C2=O)=O	
f`aa`@D@IqInvuURTZjZff`HUV`	Cerulenin			non-CNS	223.271	0.9151	-2.114	0.9151	4	1	193.21	0.71683	0.57505	16	200 <= x < 225	C/C=C/C/C=C/CCC(C1OC1C(N)=O)=O	
dk~H`Ep@cIEDXhdli]Tzjjjj`@	Cevimeline	8.59		non-CNS	199.317	1.686	-1.468	0.46469	2	0	141.02	0.20428	0.74421	13	175 <= x < 200	CC1SCC2(C(CC3)CCN3C2)O1	
